Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 2052.4262212117515 54.18943532307942 0.7479702844914827 0.9127 0.4178 19
adirondack_chairs.ppm 1723.6150868733725 53.870391845703125 0.7635013525898424 0.8978 0.4161 19
adirondack_chairs.ppm 2976.0357869466143 61.11253356933594 0.7534640983858485 0.8835 0.4118 18
adirondack_chairs.ppm 1651.8472798665366 51.0875498453776 0.7974591638772881 0.9056 0.4389 30
adirondack_chairs.ppm 3727.804369608561 67.14414723714192 0.7386099223975641 0.8546 0.3961 19
adirondack_chairs.ppm 2202.002431233724 56.62364196777344 0.7602082456353458 0.8961 0.4385 19
adirondack_chairs.ppm 2933.1610997517905 62.622764587402344 0.760209902126113 0.8685 0.4206 20
adirondack_chairs.ppm 2289.2830556233725 57.25351969401042 0.7670155505364052 0.9161 0.4509 19
adirondack_chairs.ppm 2014.9826558430989 58.58741760253906 0.7602483246853854 0.9025 0.3891 19
adirondack_chairs.ppm 1869.0889994303386 52.75060526529948 0.7884240846197651 0.9102 0.4305 18
adirondack_chairs.ppm 2300.9635976155596 59.63047790527344 0.7613160071383659 0.9023 0.4186 19
adirondack_chairs.ppm 1834.728864034017 54.55737559000651 0.7708439487318915 0.8931 0.3832 19
adirondack_chairs.ppm 2679.674041748047 61.83804829915364 0.7527474446986071 0.8644 0.4100 20
adirondack_chairs.ppm 2549.9596964518228 61.794011433919266 0.7725361430112817 0.8970 0.4422 31
adirondack_chairs.ppm 2111.7971165974936 53.79813893636067 0.7579375014495969 0.9003 0.3960 20
adirondack_chairs.ppm 2179.068285624186 57.37678782145182 0.7752734976113239 0.8912 0.4370 18
adirondack_chairs.ppm 2771.422981262207 63.392077128092446 0.7583727304495061 0.8894 0.4246 19
adirondack_chairs.ppm 2342.427858988444 57.666465759277344 0.7471559623705862 0.8775 0.3814 20
adirondack_chairs.ppm 1574.8556645711265 51.62674204508464 0.7791085864481616 0.9094 0.4365 19
adirondack_chairs.ppm 2232.9867782592773 57.10078684488933 0.7699867679203652 0.8885 0.4073 19
astro_bodies.ppm 2383.767468770345 52.170326232910156 0.7793447989277386 0.8568 0.4165 28
astro_bodies.ppm 2128.13720703125 52.08125305175781 0.7679118426083861 0.8460 0.4022 30
astro_bodies.ppm 1927.4305165608725 50.06280517578125 0.7681109909461633 0.8391 0.3995 19
astro_bodies.ppm 2677.648831685384 56.267992655436196 0.7648023067781575 0.8610 0.4151 19
astro_bodies.ppm 2821.3149948120117 55.34977467854817 0.7641077726185156 0.8387 0.4295 18
astro_bodies.ppm 1936.365493774414 49.8940684000651 0.7693870973891599 0.8504 0.4088 19
astro_bodies.ppm 1773.9129638671875 44.040435791015625 0.7864005301371891 0.8431 0.4075 19
astro_bodies.ppm 3036.411102294922 61.84871927897136 0.7673824124851606 0.8281 0.3942 18
astro_bodies.ppm 1649.6775690714517 46.49762217203776 0.763438843202155 0.8415 0.3864 29
astro_bodies.ppm 1612.8063329060874 46.299914042154946 0.7854546696148711 0.8541 0.4179 20
astro_bodies.ppm 2345.932080586751 52.87664540608724 0.7595201470389776 0.8150 0.3578 19
astro_bodies.ppm 1786.296043395996 48.20913950602214 0.7846007046888429 0.8451 0.4265 19
astro_bodies.ppm 1798.9220352172852 47.06559499104818 0.7862551703567967 0.8598 0.4222 20
astro_bodies.ppm 1514.3157755533853 44.23760986328125 0.7912889666557691 0.8530 0.4404 20
astro_bodies.ppm 2850.4569142659507 58.86701965332031 0.7324778915021204 0.8138 0.3785 19
astro_bodies.ppm 3511.1733322143555 67.30966440836588 0.7393940687392319 0.8236 0.3730 19
astro_bodies.ppm 3323.6182403564453 62.77544657389323 0.7702707913544545 0.8096 0.3603 19
astro_bodies.ppm 2005.6999638875325 48.679542541503906 0.7868593597566481 0.8500 0.4113 19
astro_bodies.ppm 2718.187428792318 59.52824910481771 0.7527340945810642 0.8302 0.3786 19
